ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
1988,#,17,#,#,#,North America,#,#,<=50K,joshua,tri,6,arthur circle,noaddresstwo,mountburr,4122,vic,5934950
9217,#,17,#,#,#,North America,#,#,<=50K,noah,bowden,9,jabanungga avenue,noaddresstwo,kalorama,4343,nostate,4937236
4543,#,17,#,#,#,North America,#,#,<=50K,alison,mclauchlan,13,bunbury street,noaddresstwo,rosebery,2228,vic,9527970
3179,#,17,#,#,#,North America,#,#,<=50K,ella,wilson,7,hector place,noaddresstwo,parkinson,2289,nsw,1757314
4772,#,17,#,#,#,North America,#,#,<=50K,christopher,sharman,13,farrer place,noaddresstwo,concongella,2480,sa,4930544
7332,#,17,#,#,#,North America,#,#,<=50K,deakin,fletcher,19,barada crescent,noaddresstwo,dandenong,6210,vic,7082268
5898,#,17,#,#,#,North America,#,#,<=50K,samantha,pillig,18,kingham place,the village,toukd,2290,vic,3687908
391,#,17,#,#,#,North America,#,#,<=50K,noah,neeson,18,tillyard drive,island quays,nietta,6210,qld,2565779
7646,#,17,#,#,#,North America,#,#,<=50K,joshua,brian,31,northbourne avenue,farm cottage 2,willunga,5211,nsw,3574182
6784,#,17,#,#,#,North America,#,#,<=50K,jake,bastian,109,duffus place,noaddresstwo,burwood,3082,qld,3783689
1428,#,17,#,#,#,North America,#,#,<=50K,kimaf,cleary,75,campbell rteet,noaddresstwo,brancton,2228,nostate,4018842
9358,#,17,#,#,#,North America,#,#,<=50K,montana,brook,12,noaddressone,cambrai vlge,fairfield,7052,nsw,2690354
6256,#,17,#,#,#,North America,#,#,<=50K,nicholas,blaye,54,carr crescent,noaddresstwo,red hill,6069,nostate,2360365
5807,#,17,#,#,#,North America,#,#,<=50K,cooper,nosurname,13,hair kace,noaddresstwo,numurkah,3205,wa,3678841
8852,#,17,#,#,#,North America,#,#,<=50K,caleb,scholz,49,woolnough street,noaddresstwo,yeppoon,3880,nsw,5156508
3152,#,17,#,#,#,North America,#,#,<=50K,grace,nasir,21,chandlerstreet,noaddresstwo,lockyer,3150,qld,2021529
2098,#,17,#,#,#,North America,#,#,<=50K,emiily,potter,14,elizabeth crescent,wollongong vet hospital,little mountain,2225,qld,6018212
4015,#,17,#,#,#,North America,#,#,<=50K,amelia,smie,127,cashion court,railwaykcrpttage,port sorell,2261,nsw,6819278
194,#,17,#,#,#,North America,#,#,<=50K,caitlin,howlett,27,noaddressone,tralee,warners bay,2643,nsw,1691697
2603,#,17,#,#,#,North America,#,#,<=50K,connor,kennedy,23,disney court,noaddresstwo,macleod,0nan,nostate,9651957
3612,#,17,#,#,#,North America,#,#,<=50K,kira,brown,36,pollock street,cairns corporate tower,woy woy,2844,nsw,8274541
4608,#,17,#,#,#,North America,#,#,<=50K,kirra,senkevitch,97,moruya circuit,benooka,murgon,4179,nostate,6190490
9869,#,17,#,#,#,North America,#,#,<=50K,noah,kuiz pers,0,antill street,noaddresstwo,springvale south,3134,nsjvw,3959993
527,#,17,#,#,#,North America,#,#,<=50K,nogivenname,polkzrrd,227,len waterisstreet,noaddresstwo,laudgredale,2137,qll,3363039
7705,#,17,#,#,#,North America,#,#,<=50K,jack,lestwvkch,205,ferriee place,noaddresstwo,redfern,2049,qld,4774984
1423,#,17,#,#,#,North America,#,#,<=50K,laura,james,128,wakefield garden,noaddresstwo,cranbourne,3113,sa,5748963
7671,#,17,#,#,#,North America,#,#,<=50K,tegan,maple,1,learmonth drive,highland pines,botany,3073,qld,9401570
739,#,17,#,#,#,North America,#,#,<=50K,harriet,bonetti,8,springvale drive,noaddresstwo,paget,2558,vic,2001554
